factor,ic_mean,ic_std,icir,ic_t,ic_pvalue,positive_ratio,n_dates,top_minus_bottom,monotonic_score,autocorr_lag1,abs_icir,abs_monotonic,has_persistence,score
return_skew_20_lag0,-0.04283279795365118,0.10319533634455512,-0.4150652487883592,-6.654002127531808,1.7216816619489867e-10,0.33073929961089493,257,-0.010628255006680118,-0.5,0.8543581211431996,0.4150652487883592,0.5,1.0,0.9650652487883593
realized_vol_20_lag7,0.07532958261098363,0.18399912519072517,0.40940185195391765,6.56321096952608,2.906737971206029e-10,0.6653696498054474,257,0.03132247272662396,0.5,0.9556570839509254,0.40940185195391765,0.5,1.0,0.9594018519539176
downside_vol_20_lag0,0.07759360531931322,0.19062286143674442,0.40705298794951517,6.525555814997481,3.606836167107947e-10,0.6186770428015564,257,0.02521576854385861,0.5,0.9367508424598286,0.40705298794951517,0.5,1.0,0.9570529879495151
volume_ma_ratio_5_20_lag3,-0.0458668389133428,0.11412536181084086,-0.4018987382433505,-6.442926906384277,5.774406692273215e-10,0.3229571984435798,257,-0.012880740662643192,-0.5,0.8404201818072604,0.4018987382433505,0.5,1.0,0.9518987382433506
realized_vol_20_lag4,0.07490702239370106,0.18643364542540697,0.4017891846870083,6.441170629270962,5.832199262743599e-10,0.6536964980544747,257,0.03240861385537359,0.5,0.9535245736222305,0.4017891846870083,0.5,1.0,0.9517891846870083
trend_slope_ma20_lag5,0.06454238264378247,0.16110447874413872,0.4006243845417031,6.422497462419159,6.482867888758487e-10,0.6264591439688716,257,0.017961638937337522,0.5,0.966275553883514,0.4006243845417031,0.5,1.0,0.9506243845417031
rsi_14_lag10,0.05621946275154166,0.1403395381566723,0.40059603651238584,6.422043008937594,6.499560186993386e-10,0.669260700389105,257,0.01505182526473545,0.5,0.8473401036680569,0.40059603651238584,0.5,1.0,0.9505960365123858
downside_vol_20_lag5,0.07223490350868579,0.1823713469262734,0.39608691127278856,6.349756232279771,9.768765048072614e-10,0.6186770428015564,257,0.022840611892441014,0.5,0.9373237245417517,0.39608691127278856,0.5,1.0,0.9460869112727885
momentum_20_lag15,0.0636460606420279,0.16137659910078483,0.3943946086153352,6.322626556846828,1.137362386341688e-09,0.6653696498054474,257,0.025478382177643324,0.5,0.8710527379612596,0.3943946086153352,0.5,1.0,0.9443946086153352
downside_vol_20_lag2,0.0740477595110479,0.18790646187982832,0.39406712664519017,6.3173766214874245,1.1712774205915433e-09,0.6186770428015564,257,0.02395725242646527,0.5,0.9362702985470313,0.39406712664519017,0.5,1.0,0.9440671266451901
ema_gap_12_26_lag10,0.07063591740016847,0.17935782550657292,0.3938267940117276,6.313523796277307,1.1967959994349215e-09,0.622568093385214,257,0.022860155014692872,0.5,0.975789320457388,0.3938267940117276,0.5,1.0,0.9438267940117275
realized_vol_10_lag7,0.06930421762315206,0.17647409207144824,0.39271610245821914,6.295718056139699,1.3219891068130913e-09,0.642023346303502,257,0.020640579098603014,0.5,0.9225585945026397,0.39271610245821914,0.5,1.0,0.9427161024582191
ema_gap_12_26_lag7,0.06983593431871991,0.17880621588983708,0.39056771025088965,6.261276709001934,1.6016428555513747e-09,0.642023346303502,257,0.018918937604643332,0.5,0.9762767999462151,0.39056771025088965,0.5,1.0,0.9405677102508896
realized_vol_20_lag10,0.071992400728563,0.18592703341741998,0.38720781698772505,6.207413522462854,2.1590654008019237e-09,0.6575875486381323,257,0.029200487989650553,0.5,0.9586588579048805,0.38720781698772505,0.5,1.0,0.9372078169877252
rsi_14_lag15,0.0534623328939334,0.13874559287816074,0.3853263500836476,6.177251313462803,2.550093160473178e-09,0.688715953307393,257,0.022207411048501574,0.5,0.8431538232408327,0.3853263500836476,0.5,1.0,0.9353263500836475
alpha005_lag5,-0.018783041637928957,0.1420887866373858,-0.1321922868260094,-2.119203571851113,0.03503618067442687,0.4785992217898833,257,-0.01941644535413996,-1.0,0.5858923841349499,0.1321922868260094,1.0,1.0,0.9321922868260093
price_ma_gap_20_lag10,0.05564273474364809,0.14678380429004897,0.3790795245618274,6.077107082082677,4.413806746289721e-09,0.6264591439688716,257,0.009116759111771594,0.5,0.8323920351693018,0.3790795245618274,0.5,1.0,0.9290795245618275
realized_vol_20_lag15,0.06854655305716054,0.18300996767739616,0.3745509270729565,6.004508141521774,6.543793945853506e-09,0.6303501945525292,257,0.028101233434541337,0.5,0.9558281294877004,0.3745509270729565,0.5,1.0,0.9245509270729566
alpha013_lag15,-0.028180891491312712,0.0759920613254066,-0.37083994038060036,-5.945016499139613,9.013416666412717e-09,0.36186770428015563,257,-0.007075539740389998,-0.5,0.6079999486202743,0.37083994038060036,0.5,1.0,0.9208399403806005
mfi_14_lag3,0.04633734949858262,0.12520514372713198,0.370091420521578,5.933016812948168,9.612129981763967e-09,0.6731517509727627,257,0.01839912101788708,0.5,0.9028954322329747,0.370091420521578,0.5,1.0,0.920091420521578
realized_vol_10_lag5,0.0641916581682265,0.18016935734355383,0.3562851037195154,5.711684717229535,3.095644554516449e-08,0.6575875486381323,257,0.019102823349806612,0.5,0.9209560127954207,0.3562851037195154,0.5,1.0,0.9062851037195154
volume_ma_ratio_5_20_lag0,-0.04247739030209078,0.12045976565918703,-0.3526272035284437,-5.653044116204176,4.197548463844022e-08,0.3735408560311284,257,-0.007870651554384982,-0.5,0.8408065009693579,0.3526272035284437,0.5,1.0,0.9026272035284437
ema_gap_12_26_lag4,0.06307977627240674,0.17947640547998078,0.3514655650903528,5.634421635374853,4.62153232751716e-08,0.6264591439688716,257,0.015138716283235147,0.5,0.9750916159697539,0.3514655650903528,0.5,1.0,0.9014655650903529
momentum_40_lag10,0.06107475437161344,0.17557515541592472,0.34785533424095116,5.576545232031222,6.223372529423277e-08,0.6536964980544747,257,0.019518522741470534,0.5,0.9132240989945697,0.34785533424095116,0.5,1.0,0.8978553342409512
rsi_14_lag7,0.047064561033399274,0.13555127722902185,0.34720853979030336,5.566176328194416,6.562621381557368e-08,0.6186770428015564,257,0.014403193281662906,0.5,0.8481811627442843,0.34720853979030336,0.5,1.0,0.8972085397903033
alpha026_lag15,-0.02557374492393935,0.0740272249708521,-0.3454640496656319,-5.538210024017164,7.569975712681469e-08,0.3852140077821012,257,-0.01119594074699097,-0.5,0.7675901586293307,0.3454640496656319,0.5,1.0,0.8954640496656319
downside_vol_20_lag15,0.05945065017332053,0.17348639762722892,0.3426819104346292,5.493608939208879,9.495722654047085e-08,0.6070038910505836,257,0.016784839676639192,0.5,0.9428342771290564,0.3426819104346292,0.5,1.0,0.8926819104346293
realized_vol_20_lag1,0.06739846096609153,0.19888763662750128,0.3388770770720294,5.432612820252768,1.2918142602935248e-07,0.642023346303502,257,0.030917838599113866,0.5,0.9548350200302509,0.3388770770720294,0.5,1.0,0.8888770770720293
adx_14_lag15,-0.039765676902089285,0.11780954029483899,-0.33754207683493814,-5.411211138363493,1.4382736884210887e-07,0.38910505836575876,257,-0.03233889288223654,-0.5,0.9876959425192834,0.33754207683493814,0.5,1.0,0.8875420768349382
momentum_40_lag7,0.05691198909087383,0.17022995733410112,0.33432416938915016,5.359624157634611,1.8608394260562696e-07,0.6536964980544747,257,0.017670055206069228,0.5,0.9143018618255827,0.33432416938915016,0.5,1.0,0.8843241693891501
parkinson_vol_10_lag5,0.06017076741825157,0.18022019396721284,0.33387361368170726,5.352401200172746,1.9288962772604827e-07,0.642023346303502,257,0.009769550536682603,0.5,0.9152221778672457,0.33387361368170726,0.5,1.0,0.8838736136817074
alpha011_lag5,-0.0371154351614973,0.09687983530056958,-0.38310795065192566,-6.141687665141284,3.100827933568438e-09,0.3424124513618677,257,-0.011582120980643873,-1.0,0.26919072958775764,0.38310795065192566,1.0,0.0,0.8831079506519257
parkinson_vol_10_lag4,0.05926824719276335,0.1798061741977889,0.32962298128632433,5.284258379050529,2.702184612125523e-07,0.6381322957198443,257,0.00917384624754674,0.5,0.9156027708519402,0.32962298128632433,0.5,1.0,0.8796229812863243
trend_slope_ma20_lag3,0.054499472296817564,0.16567045726039412,0.3289631307720573,5.273680170591491,2.8465427082510673e-07,0.6264591439688716,257,0.01426479291136571,0.5,0.9656440504584689,0.3289631307720573,0.5,1.0,0.8789631307720573
alpha004_lag15,-0.032491034603635144,0.09879532177713297,-0.3288721977841209,-5.272222403898283,2.867014626472487e-07,0.3657587548638132,257,-0.009826132001894985,-0.5,0.44749158053357163,0.3288721977841209,0.5,1.0,0.878872197784121
mfi_14_lag2,0.04133814240002509,0.12672818496228735,0.3261953322564099,5.229308984939454,3.538013665457545e-07,0.6614785992217899,257,0.019749940831435515,0.5,0.9040227039444334,0.3261953322564099,0.5,1.0,0.87619533225641
obv_slope_20_lag2,0.04380290929240434,0.13487858894699034,0.32475806304305016,5.206267806639297,3.958830899794697e-07,0.6614785992217899,257,0.008483170051266156,0.5,0.9067803090593413,0.32475806304305016,0.5,1.0,0.8747580630430503
downside_vol_20_lag10,0.05948362666042813,0.18480830266036485,0.3218666358824005,5.159914703037564,4.957556141756701e-07,0.5992217898832685,257,0.017123331004376123,0.5,0.9450109054367897,0.3218666358824005,0.5,1.0,0.8718666358824005
obv_slope_20_lag1,0.04303173554511898,0.13415323524695175,0.3207655444604475,5.142262864716553,5.39885208462364e-07,0.6575875486381323,257,0.007291321842954508,0.5,0.9071284395439216,0.3207655444604475,0.5,1.0,0.8707655444604476
risk_adj_mom_20_lag5,0.043062333546335096,0.13457783216421706,0.3199808828380351,5.129683781981571,5.736335000138304e-07,0.6108949416342413,257,0.021236479223503933,0.5,0.873644879099249,0.3199808828380351,0.5,1.0,0.8699808828380351
adx_14_lag10,-0.03739357486118305,0.11776896282295457,-0.31751638092795187,-5.090174810799641,6.934704815730258e-07,0.3735408560311284,257,-0.030278873296875248,-0.5,0.9873212042767776,0.31751638092795187,0.5,1.0,0.8675163809279518
momentum_40_lag5,0.05461946828816506,0.17235620812105984,0.3168987580058697,5.080273562141643,7.271122069618466e-07,0.6381322957198443,257,0.016594213215070937,0.5,0.9133185679883622,0.3168987580058697,0.5,1.0,0.8668987580058698
